text;env_problems;pollution;treatment;climate;biomonitoring
У поверхневі води басейну Південного Бугу скиди стічних вод надходять із 341 точкового джерела (дані інвентаризації джерел скидів проведеної у 2011 році).;1;1;;;
Згідно з державною статистичною звітністю (форма 2-ТП-Водгосп) у 2011 р. загальний об’єм скинутих стічних вод складав 211 млн. м3 які за галузями розподілялися так: комунальне господарство (57 суб’єктів) — 70 млн. м3 промисловість (79 суб’єктів) — 50 млн. м3 сільське господарство (193 суб’єкти) — 90 млн. м3 інші водокористувачі (12 суб’єктів) — 1 млн. м3 ;1;1;;;
Показники об’ємів стічних вод серед різних галузей економіки майже однакові але домінуюча частка забруднювальних речовин надходить із стічними водами комунальних підприємств.;1;1;;;
Частка легкокиснюваних органічних речовин оцінених за БПК20 становить 84% фосфатних іонів — 86% сполук азоту — мінерального амонійного нітритного й нітратного — відповідно 84 91 87 та 79%. ;1;1;;;
Функціонування промисловості призводить до скидів забруднювальних речовин у стічні води у межах 7–21% сільськогосподарських підприємств — лише 0–6% що свідчить про найменший вплив їхньої діяльності на водні об’єкти.;1;1;;;
Із 92 міських поселень лише у 51 населеному пункті (55%) проводиться централізований збір стічних комунальних вод та їхній облік. Серед 2878 сіл такий облік проводиться лише в шести (0.2%).;1;;;;
Населені пункти які не мають каналізаційної мережі як правило не мають і централізованого водопроводу.;1;;;;
Виробничі управління житлово-комунального господарства більшість з яких є комунальними підприємствами збирають від користувачів зворотні води очищують їх на комунальних очисних спорудах (КОС) після чого скидають назад у поверхневі водоприймачі — р. Південний Буг та його притоки 1-го і 2-го порядків.;1;;1;;
Обладнання очисних споруд вкрай зношене кількість стічних вод часто перевищує проектну потужність і частина з них може потрапляти у водоприймачі без належної очистки.;1;;1;;
Нинішній стан каналізаційних мереж також викликає велике занепокоєння оскільки через фінансові труднощі близько 24% із них знаходяться в аварійному стані.;1;;1;;
Внаслідок цього в Україні за рік у середньому трапляється дві аварії на 1 км мережі що істотно перевищує відповідний показник у країнах ЄС та вносить додаткове забруднення поверхневих вод [20]. Моніторинг цих скидів не проводиться.;1;1;;;
Навантаження по забрудненню внаслідок аварій на цей час оцінити неможливо.;0;;;;
Ступінь підключення населення до КОС варіює у дуже широких межах — від 11 до 95%. Максимальний показник відзначається у м. Южноукраїнськ.;1;;1;;
У великих містах з ЕН близьким або більшим 100 000 ступінь підключення до каналізаційної мережі коливається у межах 85–92% у селищах міського типу як правило не більше 30%. За браком даних точної оцінки дати не можна.;1;;1;;
На підставі експертного судження прийнято що середньозважений ступінь підключення міського населення до КОС становить близько 80%. Загальне навантаження по неорганічним сполукам азоту які надійшли у 2011 р. на КОС агломерацій з ЕН > 2000 становило більше 488 т;1;1;1;;
Отримані результати наочно показують що основна частка (77%) сполук неорганічного азоту у стічні води потрапляє з трьох найбільших міст — обласних центрів — Вінниці Хмельницького та Кіровограда.;1;1;;;
Переважна більшість КОС у басейні Південного Бугу обладнана спорудами для біологічної очистки стічних вод.;1;;1;;
Завдяки цьому методу видаляється лише частина сполук азоту і фосфору.;1;1;1;;
Технології для поглибленого вилучення вказаних сполук в Україні не застосовуються через їхню високу вартість.;1;;1;;
Наявні КОС споруджені ще за часів існування СРСР фізично й морально застарілі працюють неефективно часто об’єми стічних вод перевищують проектні величини що призводить до понаднормованого надходження забруднювальних речовин у поверхневі води.;1;1;1;;
Більшість очисних споруд вимагають негайної модернізації та реконструкції.;1;1;1;;
Згідно з отриманими даними найменшу ефективність щодо Nнеорг мають КОС смт Ватутіне м. Тульчин м. Баштанка смт Смоліне.;1;1;1;;
Однак КОС великих міст (ЕН > 100000) Кіровограда Вінниці і Хмельницького також працюють незадовільно і призводять до підвищеного надходження сполук азоту у природні водні об’єкти.;1;1;1;;
Для сполук NH4 + відзначається тенденція що й для азоту неорганічного в цілому.;1;;;;
Основна частка скидів надходить з трьох найбільших міст (Вінниці Хмельницького Кіровограда) при цьому спостерігається пряма залежність об’єму скидів від чисельності населення.;1;1;;;
При цьому звертає на себе увагу значне надходження амонійного азоту з КОС смт Ватутіне м. Баштанка м. Тульчин та м. Христинівка що може бути пов’язано з незадовільною роботою КОС.;1;1;1;;
Про це свідчать також значення питомого скиду сполук NH4 + які у вищезазначених агломераціях досягають максимальних показників   ;1;1;;;
Подібно до інших сполук азоту його скиди у нітратній формі забезпечуються найбільшими містами — Вінницею Хмельницьким Кіровоградом а також м. Хмільник;1;1;;;
Найбільший питомий винос зазначених сполук відзначається у містах Кіровоград та Хмільник (відповідно 188 та 179 кг N-NO3/ЕН);1;1;;;
Для узагальнення питання забруднення Південного Бугу сполуками неорганічного азоту було проведено дослідження змін їх вмісту по довжині річки.;0;;;;
Чітко простежується наявність двох відмінних ділянок: перша — від 700 м вище м. Хмельницького до 4 км нижче м. Вінниці друга — від м. Вінниці до смт Нова Одеса.;0;;;;
На першій ділянці концентрація мінеральних форм азоту значно вища у їхньому складі переважають амонійні форми тоді як на другій ділянці домінує азот у формі нітратних іонів.;1;1;;;
На підставі цього зроблено висновок що на першій ділянці збільшення концентрацій мінерального азоту спричинено надходженням у руслову частину значної кількості стічних вод.;1;1;;;
Найгірші умови спостерігаються на відрізку м. Хмельниць- кий — м. Хмільник (рис. 2.8);1;1;;;
Таке місто як Хмельницький (ЕН > 200000) генерує велику кількість стічних вод що не дозволяє досягти ефективного ступеню розбавлення природним стоком нижче місця скиду.;1;1;1;;
Очевидно що здатність верхньої ділянки річки до трансформації азоту шляхом окиснення його амонійних сполук до нітратів є недостатньою.;1;;;;
Під час процесу нітрифікації витрачається 46 мг О/мг що призводить до значного зменшення концентрацій кисню у воді і формує загрозу утворення задухи;1;;;;1
Важливим чинником евтрофікації водних об’єктів що лімітує продукцію органічної речовини є фосфор.;1;;;;1
Порядок вмісту його органічних форм які утворюються внаслідок мінералізації автохтонного детриту та мінеральних форм що надходять внаслідок алохтонного змиву практично не відрізняється [33]. ;1;1;;;1
Мінералізація органічного фосфору у донних відкладах досягає 40–80% і як було нами відзначено в ході виконання роботи інтенсифікується в осінньо-зимовий період.;1;;;;1
Це призводить до порушення рівноваги між твердою та рідкою фазами й спричиняє процес дифузії сполук фосфору назад у воду що найбільш інтенсивно відбувається в анаеробних умовах.;1;1;;;
У басейні Південного Бугу основна частка вказаних сполук (71%) скидається через очисні споруди міст Вінниця Хмельницький Кіровоград Умань та Первомайськ.;1;1;1;;
Також слід відзначити низький ступінь очистки від фосфоровмістних сполук стічних вод у смт Смоліне селах Катеринопіль Сазонівка смт Ватутіне містах Кіровоград та Хмельницький ;1;1;1;;
Фосфор належить до елементів які дуже складно виводяться із водних екосистем у процесі самоочищення.;0;;;;
Динаміка вмісту фосфатних іонів по довжині р. Південний Буг переконливо показує його пріоритетне надходження за рахунок стічних вод міст передусім Хмельницького та Хмільника.;1;1;;;
Як відомо фосфор входить до складу мийних засобів і у складі стічних вод населених пунктів потрапляє до водних об’єктів.;1;1;;;
Незначне зростання концентрацій Рмін у нижній частині річки потребує додаткового дослідження. Це може бути пов’язано не лише зі стічними водами а й з дифузією фосфатних іонів із донних відкладів;1;1;;;1
Більша частина населення басейну Південного Бугу що становить 3.08 млн. осіб (73%) збирає стічні води в індивідуальні накопичувачі або скидає їх прямо на поверхню.;1;1;;;
З відходами життєдіяльності людини у стічні води потрапляють сполуки азоту і органічні речовини.;1;1;;;
Домінуючу частину (86%) фосфатних іонів у скидних водах досліджуваних підприємств забезпечують Смолінська шахта Ладижинська ТЕС Новокостянтинівська шахта ВАТ «БОС» м. Вознесенськ (рис. 2.15). ;1;1;;;
Основна частина азоту в нітратній формі надходить у поверхневі води зі стічними водами Інгульської шахти Смолінської шахти Ладижинської ТЕС ВАТ «БОС» м. Вознесенськ (рис. 2.14). ;1;1;;;
Порівняно з «Водоканалами» зі стічними водами яких надходить 488 т/рік сполук Nмін та 52 т/рік сполук Рмін сумарний внесок промислових підприємств значно нижчий — відповідно 86.2 та 8.1 т/рік.;;1;;;
Із водами сільськогосподарських підприємств у складі неорганічних сполук азоту за рік сумарно надходить 2.4 т Nмін та 1.6 т фосфатів.;1;1;;;
З листопада по квітень концентрація нітратних іонів варіювала в межах 2–9 мг/дм3 а у вересні — 0.5–2 мг/дм3 окрім створів нижче скидів основних забруднювачів — Хмельницького та Вінницького водоканалів та в с. Первозванівка нижче скиду стічних вод Інгульської шахти.;1;1;;;
Таким чином найбільший ризик для погіршення екологічного статусу поверхневих вод у басейні Південного Бугу несе м. Хмельницький.;1;;;;
Великий обсяг його стічних вод призводить до різкого зменшення концентрації розчиненого у воді кисню (рис. 2.24). Переважна кількість забруднення органічними речовинами оціненого за показником БСК20 також формується за рахунок трьох найбільших міст: Вінниці Хмельницького та Кіровограда.;1;1;;;
Річка Південний Буг належить до числа великих річок басейну Чорного моря і є найбільшою басейн якої повністю розташований у межах України.;0;;;;
Її басейн площею 63 700 км2 межує з басейнами Дністра (на заході) та Дніпра (на півночі та сході).;0;;;;
Довжина річки — 806 км.;0;;;;
Басейн Південного Бугу розміщений на території семи областей України найбільші частини площі припадають на Вінницьку (25.7%) Кіровоградську (24.2%) Миколаївську (23.2%) і Черкаську (13.2%).;0;;;;
Невеликі частини річкового басейну розташовані у межах Одеської Хмельницької та Київської областей (карта 1).;0;;;;
Витік річки розташований на Подільській височині поблизу с. Холодець Хмельницької області.;0;;;;
У басейні Південного Бугу протікає 6594 річки;0;;;;
У басейні налічується значна кількість водойм: 189 водосховищ та 9640 ставків.;0;;;;
Басейн Південного Бугу розташований на Правобережній Україні поширюється з північного заходу на південний схід і лежить на Східноєвропейській рівнині.;0;;;;
Сучасний рельєф території формувався під впливом геологічних процесів і складається з підвищених і понижених ділянок.;0;;;;
Басейн розташований у межах трьох геоморфологічних областей: верхня частина знаходиться на Подільській височині середня — на Придніпровській височині нижня — на Причорноморській низовині.;0;;;;
У межах Подільської та Придніпровської височин рельєф рівнинний: тут водозбір являє собою плато з відмітками 120–396 м сильно розчленоване глибоко врізаними (до 150 м) річковими долинами.;0;;;;
Абсолютні висоти змінюються від 120–150 м у північній частині до 10–20 м на півдні [27 31].;0;;;;
Природна рослинність займає тут 12% усієї площі. Із них 9% припадає на ліси близько 2% — на луки і 1% — на болота.;0;;;;1
У формуванні клімату басейну Південного Бугу важливу роль відіграє циркуляція атмосфери з якою пов’язані переміщення повітряних мас з Атлантики Арктики і Середземномор’я.;0;;;1;
У верхів’ї та середній частині басейну клімат помірно континентальний.;0;;;1;
Клімат південних районів знаходиться під впливом Чорного моря і в нижній течії річки повільно переходить у посушливий.;0;;;1;
Значна протяжність території басейну з північного заходу на південний схід спричиняє помітні відмінності у розподілі температури повітря.;0;;;1;
Середня річна температура повітря змінюється від 71 до 100°С.;0;;;1;
Середня багаторічна температура повітря у верхній і середній частинах басейну коливається у межах 7.1–8.1°С.;0;;;1;
Максимальна температура влітку сягає 39°С мінімальна — до -38°С.;0;;;1;
Для цієї частини басейну зимовий сезон характеризується опадами у вигляді снігу частими туманами.;0;;;1;
Середня висота снігового покриву становить від 10 до 15 см. В окремі роки зима буває стійкою й суворою.;0;;;1;
Весна вирізняється різким переходом від потепління до похолодання від сухої погоди до дощової.;0;;;1;
У травні починає розвиватися грозова діяльність.;0;;;1;
Погодні умови літнього сезону відзначаються значним підвищенням температури великою кількістю ясних днів збільшенням кількості опадів активною грозовою діяльностю.;0;;;1;
Для осіннього сезону (особливо другої його половини) притаманні часті похмурі дні тривалі опади й тумани.;0;;;1;
Річна норма опадів у верхній та середній частинах басейну становить від 669 до 550 мм поступово зменшуючись із півночі на південь.;0;;;1;
Нижня частина басейну р. Південний Буг розташована у межах степової зони України з помірно-континентальним кліматом для якої притаманні тепле літо і м’яка нестійка зима.;0;;;1;
Середньорічна температура повітря тут коливається від 8.0 до 10.0°С.;0;;;1;
Максимальна температура повітря (до 40°С) спостерігається у липні- серпні мінімальна температура (до мінус 35°С) відмічається в січні.;0;;;1;
У нижній частині басейну сніговий покрив установлюється у другій половині грудня і руйнується в кінці лютого — на початку березня.;0;;;1;
Середня висота снігового покриву — 5–8 см. Глибина промерзання ґрунту в середній та нижній частинах басейну — 20–50 см.;0;;;1;
Річна кількість опадів у нижній частині басейну становить від 470 до 540 мм. Відносна середньорічна вологість повітря — 60–65%.;0;;;1;
У межах району річкового басейну Південного Бугу є водні тіла чотирьох із п’яти категорій а саме: річки озера перехідні (транзитні) штучні та істотно змінені.;0;;;;
Бузький лиман як частина Дніпро-Бузького лиману є перехідним або транзитним водним тілом.;0;;;;
В Ладижинському водосховищі завдяки великому об’єму та скиду підігрітих вод з ТЕС відбувається інтенсифікація біологічних процесів та зростання біотопічного і біологічного різноманіття.;1;1;;;1
Екологічний статус цього водосховища визначається як добрий.;0;;;;
Від нижнього б’єфа Ладижинського гідровузла до верхів’я Олександpівського водосховища на фоні чергування порожистих та плесових ділянок в умовах швидкої течії та насичення води киснем спостерігається велика різноманітність біотичних угруповань.;0;;;;1
Ділянку в районі Мигійських порогів можна вважати референційною.;0;;;;
Хімічний статус водних тіл повинен відповідати вимогам екологічних цілей для поверхневих вод викладеним у статті 4 ВРД.;0;;;;
Використання даних величин запропоноване групою з моніторингу Міжнародної комісії із захисту р. Дунай (МКЗД) та визначається Директивою 2009/90/ЄC.;0;;;;
Оцінка хімічного статусу виділених водних тіл у басейні проведена згідно з переліком пріоритетних речовин та інших небезпечних забруднювальних речовин для яких Директивою 2008/105/ЄC визначені гранично допустимі рівні вмісту у природних водах (екологічні стандарти) з врахуванням вимог директиви.;0;;;;
Для визначення рівнів надійності оцінки за загальними фізико-хімічними показниками враховувались дані наявні на 2011 р. та результати вимірювання проведені протягом 2012 р.;0;;;;